case;group;in_geraete_anzahl;in_geraete_kompetenz;in_minuten;in_adoption;ki_einstellung_arbeit;ki_einstellung_sozial;ki_einstellung_individuell;ki_einstellung_bildung;ki_einstellung_entscheidungen;ki_profit;ki_gehoert;ki_quelle_massenmedien;ki_quelle_internet;ki_quelle_arbeit;ki_quelle_privat;ki_beispiele;ki_anwendungen_bild;ki_anwendungen_video;ki_anwendungen_text;ki_anwendungen_musik;ki_anwendungen_uebersetzung;ki_anwendungen_transkription;ki_anwendungen_beschreibung;ki_anwendungen_vorlesen;ki_anwendungen_empfehlung;ki_anwendungen_konversation;ki_anwendungen_navigation;cg_kennen;cg_erinnern;cg_erinnern_wochen;cg_erinnern_quelle;cg_nutzen;cg_nutzen_wochen;cg_nutzen_allein;cg_nutzen_gezeigt;cg_nutzen_eindruck;cg_nutzen_privat;cg_nutzen_beruflich;cg_nutzen_aktivitaeten;cg_gesprochen_privat;cg_gesprochen_beruflich;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;cg_adoption_easeofuse_01;cg_adoption_easeofuse_02;cg_adoption_easeofuse_03;cg_adoption_easeofuse_04;cg_adoption_evaluation_01;cg_adoption_evaluation_02;cg_adoption_evaluation_03;cg_adoption_evaluation_04;sd_geschlecht;sd_geburtsjahr;sd_alter;sd_abschluss;sd_ausbildung;sd_ausbildung_keine;sd_ausbildung_lehre;sd_ausbildung_meisterin;sd_ausbildung_studium;sd_ausbildung_promotion;sd_bereich;sd_haushalt;q_anmerkungen;q_started;q_time;q_completed
579;1 Unkenntnis KI;2;2;20;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;3;3;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;1;NA;2023-04-24T19:34:26Z;308;TRUE
580;1 Unkenntnis KI;5;3;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;4;1;2;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1965;58;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;5;NA;2023-04-24T19:38:21Z;291;TRUE
581;4 Nutzung ChatGPT;4;1;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;3;4;4;eher profitieren;ja;5;3;5;4;ChatGP;1;1;3;1;3;3;-1;2;2;-1;-1;ja;ja;6;andere Quelle;ja, aber erst später;5;allein;selbst ausprobiert;eher überzeugend;2;3;Informationen zu bestimmten Themen sammeln.<br>Sprachen lernen.;3;2;4;-1;3;3;-1;1;-1;4;1;1;1;1;5;4;5;5;5;4;4;4;weiblich;2000;23;(Fach-) Abitur;1;2;1;1;1;1;Ich befinde mich noch in einer Ausbildung.;1;NA;2023-04-24T19:39:37Z;579;TRUE
582;1 Unkenntnis KI;3;3;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;3;1;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1984;39;(Fach-) Abitur;1;1;2;1;1;1;Soziales, Pflege, Medizin;1;Ki kann Vorteile bringen aber es nimmt der Gesellschaft soziales und das Denken wird weniger;2023-04-24T19:40:06Z;215;TRUE
585;3 Nichtnutzung ChatGPT;10;10;10;Ich probiere neue Angebote eher schnell aus.;2;3;3;2;4;eher nicht profitieren;ja;3;3;4;4;"chatgpt; dall-e; bard";2;2;2;1;4;2;1;2;2;2;3;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;-1;3;-1;3;-1;-1;-1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1978;45;(Fach-) Abitur;1;1;2;1;1;1;Verkehr, Logistik, Sicherheit;3;NA;2023-04-24T19:45:19Z;659;TRUE
586;3 Nichtnutzung ChatGPT;5;5;30;Ich probiere neue Angebote eher schnell aus.;5;2;3;4;3;eher profitieren;ja;3;5;4;4;ChatGPT;2;2;2;1;4;3;1;2;4;3;4;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;4;4;5;5;3;2;1;1;-1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1991;32;(Fach-) Abitur;1;1;1;1;2;1;Handel, Finanzen, Verwaltung;1;NA;2023-04-24T19:45:19Z;206;TRUE
587;1 Unkenntnis KI;2;2;180;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;3;1;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1966;57;9. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;NA;2023-04-24T19:46:22Z;294;TRUE
588;1 Unkenntnis KI;5;5;240;Ich probiere neue Angebote eher schnell aus.;4;1;3;3;4;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1963;60;9. Klasse;1;1;2;1;1;1;Hausarbeit;4;NA;2023-04-24T20:12:18Z;152;TRUE
589;3 Nichtnutzung ChatGPT;3;3;70;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;4;4;eher nicht profitieren;ja;2;2;4;4;NA;1;1;1;1;1;1;1;2;1;1;2;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;3;3;4;3;4;4;1;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1959;64;10. Klasse;1;1;2;1;1;1;Verkehr, Logistik, Sicherheit;1;NA;2023-04-24T20:16:13Z;268;TRUE
590;4 Nutzung ChatGPT;3;3;50;Ich probiere neue Angebote sofort aus.;4;5;4;3;4;eher profitieren;ja;4;3;3;2;Schreibprogramme;2;3;4;2;2;4;2;3;4;1;3;ja;nein;NA;NA;ja, direkt nachdem ich davon gehört hatte;3;privat mit anderen;von anderen gezeigt;eher überzeugend;3;4;nix;2;1;3;4;2;5;4;3;4;2;2;3;4;3;3;5;2;5;3;5;4;4;männlich;1986;37;(Fach-) Abitur;1;2;1;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-24T20:17:51Z;306;TRUE
591;1 Unkenntnis KI;6;3;180;Ich probiere neue Angebote sofort aus.;5;3;2;5;4;sicher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1995;28;(Fach-) Abitur;1;1;1;2;1;1;IT, Informatik, EDV;4;NA;2023-04-24T20:21:02Z;395;TRUE
592;4 Nutzung ChatGPT;3;3;120;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;2;4;5;4;eher profitieren;ja;2;2;3;2;Chat GPT, Quilbot, Eclicit;2;2;4;2;4;3;2;2;2;3;4;ja;ja;8;aus Massenmedien (online oder offline);ja, aber erst später;3;allein;selbst ausprobiert;eher überzeugend;4;1;Texte übersetzen oder Synonyme für Wörter suchen;3;1;4;1;3;5;4;4;-9;4;1;1;-9;1;5;3;4;4;5;3;-9;4;weiblich;1997;26;(Fach-) Abitur;1;1;2;1;1;1;Ich befinde mich noch in einer Ausbildung.;1;NA;2023-04-24T20:21:22Z;469;TRUE
593;1 Unkenntnis KI;2;2;25;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;4;4;4;2;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1976;47;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;3;NA;2023-04-24T20:22:11Z;227;TRUE
594;3 Nichtnutzung ChatGPT;5;5;300;Ich probiere neue Angebote eher schnell aus.;5;3;4;4;5;eher profitieren;ja;3;3;4;5;Chat gpt;2;2;2;2;4;2;2;3;2;2;2;ja;ja;5;aus Internetforen und Plattformen;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;-1;3;3;3;-1;1;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1981;42;(Fach-) Abitur;1;1;1;1;2;1;IT, Informatik, EDV;3;Ich unterstütze die Technik und würde sie gerne nutzen.;2023-04-24T20:23:34Z;523;TRUE
595;4 Nutzung ChatGPT;4;4;90;Ich probiere neue Angebote eher schnell aus.;3;2;3;5;4;eher profitieren;ja;2;5;4;3;ChatGPT;2;2;3;2;4;3;1;2;4;2;2;ja;nein;NA;NA;ja, aber erst später;4;allein;selbst ausprobiert;unbestimmt;1;1;Ich habe es nur einige Male zum Spaß ausprobiert.;3;3;4;2;4;3;2;-1;2;3;1;1;1;1;4;-1;3;3;4;4;4;-1;männlich;1986;37;(Fach-) Abitur;1;1;1;1;2;1;Handel, Finanzen, Verwaltung;3;NA;2023-04-24T20:24:29Z;293;TRUE
597;4 Nutzung ChatGPT;15;15;120;Ich probiere neue Angebote eher schnell aus.;5;3;4;4;4;eher profitieren;ja;4;2;4;2;Chat GPT;1;1;3;1;4;4;1;2;3;4;4;ja;ja;4;aus Internetforen und Plattformen;ja, aber erst später;4;privat mit anderen;von anderen gezeigt;unbestimmt;2;1;Bewerbungsunterlagen erstellen;2;1;3;4;4;3;4;3;3;4;2;3;1;1;4;4;3;4;3;4;4;4;männlich;1965;58;(Fach-) Abitur;1;1;2;1;1;1;Soziales, Pflege, Medizin;3;Es müsste sicherer werden, das die Ergebnisse nicht missbraucht werden;2023-04-24T20:34:37Z;549;TRUE
598;1 Unkenntnis KI;3;3;60;Ich probiere neue Angebote eher schnell aus.;5;4;3;4;1;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1966;57;(Fach-) Abitur;2;1;2;1;2;1;IT, Informatik, EDV;2;NA;2023-04-24T20:34:53Z;229;TRUE
599;4 Nutzung ChatGPT;10;7;100;Ich probiere neue Angebote eher schnell aus.;5;4;5;5;5;sicher profitieren;ja;1;2;2;1;open AI, chatGPT, virtual AI;2;2;3;2;3;3;2;2;3;4;2;ja;ja;10;von Personen im privaten Umfeld;ja, aber erst später;8;privat mit anderen;von anderen gezeigt;sehr überzeugend;4;2;kurze Erklärungen oder Aufsätze erstellen lassen;3;3;5;3;4;5;2;3;3;1;3;2;3;3;5;5;5;5;5;5;5;5;weiblich;1967;56;10. Klasse;2;1;2;2;1;1;In einem anderen Bereich.;4;die Anwendung kann sich in die falsche Richtung entwickeln......;2023-04-24T20:38:01Z;669;TRUE
602;1 Unkenntnis KI;5;5;200;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;1;4;2;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1976;47;10. Klasse;1;1;2;1;1;1;Verkehr, Logistik, Sicherheit;3;KI ist nicht mehr wegzudenken und hat sicher auch seine Vorteile. Dennoch sollten wir der Sache nicht zu leichtfertig Gegenüber stehen denn ich möchte das Terminator Sicene Fiction bleibt.;2023-04-24T20:50:45Z;266;TRUE
604;1 Unkenntnis KI;3;1;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;3;1;2;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1977;46;(Fach-) Abitur;1;1;2;1;1;1;Gastronomie, Freizeit, Kultur;4;NA;2023-04-24T21:01:07Z;161;TRUE
605;4 Nutzung ChatGPT;4;3;20;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;3;4;eher nicht profitieren;ja;4;3;4;4;NA;1;1;3;1;4;3;2;3;1;4;4;ja;ja;12;von Personen im privaten Umfeld;ja, direkt nachdem ich davon gehört hatte;12;privat mit anderen;von anderen gezeigt;[NA] nicht beantwortet;2;1;Nur zum Spaß;3;2;-1;-1;-1;-1;-1;5;-1;-1;1;-1;-1;-1;4;4;4;5;4;4;4;-1;weiblich;1983;40;(Fach-) Abitur;1;1;1;1;2;1;Schule, Bildung, Wissenschaft;4;NA;2023-04-24T21:01:19Z;647;TRUE
606;1 Unkenntnis KI;10;10;180;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;4;3;4;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1959;64;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;4;nein;2023-04-24T21:01:32Z;161;TRUE
607;1 Unkenntnis KI;3;1;10;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;3;3;3;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1982;41;(Fach-) Abitur;1;2;1;1;1;1;Verarbeitung, Produktion, Technik;3;Nein;2023-04-24T21:07:01Z;148;TRUE
608;3 Nichtnutzung ChatGPT;6;4;20;Ich probiere neue Angebote eher schnell aus.;4;1;2;2;3;eher profitieren;ja;3;2;2;2;"chat gpt; stable-diffusion-ui; Video AI; Topaz Photo AI";3;2;2;3;4;2;1;3;2;4;3;ja;ja;1;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1989;34;(Fach-) Abitur;1;1;1;1;2;1;Verarbeitung, Produktion, Technik;4;NA;2023-04-24T21:08:11Z;353;TRUE
609;1 Unkenntnis KI;5;5;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;3;4;4;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;divers;1967;56;10. Klasse;1;1;1;2;1;1;IT, Informatik, EDV;2;NA;2023-04-24T21:11:02Z;175;TRUE
610;1 Unkenntnis KI;5;4;500;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;2;1;4;1;1;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1977;46;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;4;NA;2023-04-24T21:12:13Z;99;TRUE
611;2 Unkenntnis ChatGPT;4;0;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;2;2;2;4;eher nicht profitieren;ja;2;3;5;3;NA;2;1;2;2;3;3;2;2;3;3;3;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1972;51;10. Klasse;1;1;2;1;1;1;Soziales, Pflege, Medizin;4;NA;2023-04-24T21:12:26Z;382;TRUE
612;3 Nichtnutzung ChatGPT;2;1;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;1;3;2;2;eher nicht profitieren;ja;2;3;5;4;Chat GPT;1;2;2;1;4;2;1;1;1;1;4;ja;ja;10;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;1;-1;3;2;-1;-1;1;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1964;59;10. Klasse;1;1;2;1;1;1;Verarbeitung, Produktion, Technik;2;Ich fürchte mich davor, dass man Bilder oder Videos von Politikern fälscht und damit falsche Propaganda macht, und dass man Texte einfach durch Chat GPT schreiben lässt, nicht mehr selbst macht.<br>Seit geraumer Zeit habe ich das Gefühl, im Radio laufen viele durch den Computer erstellte Songs. Die sind eintönig und langweilig. Keine gute Musik mehr.;2023-04-24T21:14:35Z;584;TRUE
613;3 Nichtnutzung ChatGPT;5;3;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;5;3;4;4;4;eher profitieren;ja;2;2;5;4;"Siri; Chat Bots; Alexa; Bixby";2;2;3;2;4;3;2;3;2;3;4;ja;ja;2;aus Internetforen und Plattformen;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;4;4;3;-1;-1;3;1;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;2003;20;(Fach-) Abitur;1;2;1;1;1;1;Gastronomie, Freizeit, Kultur;3;NA;2023-04-24T21:15:20Z;560;TRUE
616;1 Unkenntnis KI;4;4;60;Ich probiere neue Angebote eher schnell aus.;5;5;4;5;4;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1968;55;10. Klasse;1;1;2;1;1;1;Verarbeitung, Produktion, Technik;2;nein;2023-04-24T21:19:36Z;408;TRUE
617;1 Unkenntnis KI;10;10;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;1;1;1;1;1;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1986;37;(Fach-) Abitur;1;1;1;1;2;1;Handel, Finanzen, Verwaltung;3;Scheißdreck der verboten und abgeschafft gehört;2023-04-24T21:19:52Z;172;TRUE
618;3 Nichtnutzung ChatGPT;1;0;80;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;4;2;3;2;2;sicher nicht profitieren;ja;5;5;5;5;NA;1;1;2;1;1;1;1;1;1;1;1;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;-1;1;-1;-1;-1;-1;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1966;57;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;1;NA;2023-04-24T21:34:46Z;315;TRUE
619;1 Unkenntnis KI;3;3;40;Ich probiere neue Angebote eher schnell aus.;2;2;3;4;3;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1982;41;10. Klasse;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;3;NA;2023-04-24T21:36:41Z;112;TRUE
620;1 Unkenntnis KI;3;0;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;1;2;3;4;2;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1964;59;(Fach-) Abitur;1;1;1;2;1;1;Schule, Bildung, Wissenschaft;1;Nein;2023-04-24T21:40:02Z;272;TRUE
621;1 Unkenntnis KI;3;2;70;Ich probiere neue Angebote eher schnell aus.;3;2;4;3;2;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1984;39;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;4;NA;2023-04-24T21:41:34Z;141;TRUE
623;3 Nichtnutzung ChatGPT;3;2;60;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;4;1;2;4;3;sicher profitieren;ja;2;5;5;5;ChatGPT;1;1;2;1;3;3;2;3;3;3;3;ja;ja;4;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;4;5;5;5;1;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1995;28;(Fach-) Abitur;1;1;2;1;1;1;In einem anderen Bereich.;2;Das sich Quellen ausgedacht werden von der KI um schlüssig zu wirken ist echt schlimm. Die KI könnte doch lieber das Netz absuchen und nutzen was da drin ist, als sich welche auszudenken und dann wirklich Müll zu produzieren. Bei Bilderstellungs-KIs muss ich sagen, dass die Feinheit und auch manchmal die Anatomie komplett verdreht oder ignoriert wird und man sofort erkennt, dass es ein KI generiertes Bild ist, aufgrund der schlechten Qualität.;2023-04-24T21:43:24Z;500;TRUE
625;1 Unkenntnis KI;2;2;60;Ich probiere neue Angebote eher schnell aus.;4;3;3;4;1;eher profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1986;37;(Fach-) Abitur;1;1;1;1;2;1;In einem anderen Bereich.;4;Benutzt ich Chatgpt;2023-04-24T21:46:27Z;344;TRUE
627;1 Unkenntnis KI;2;2;100;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;3;1;2;2;2;sicher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1960;63;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;1;NA;2023-04-24T21:52:30Z;347;TRUE
628;3 Nichtnutzung ChatGPT;2;2;30;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;3;2;1;4;2;eher nicht profitieren;ja;4;4;5;4;gbp;1;1;2;1;3;1;1;1;1;1;3;ja;nein;NA;NA;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1980;43;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;1;nein;2023-04-24T21:53:21Z;127;TRUE
629;1 Unkenntnis KI;2;2;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;1;1;2;3;eher nicht profitieren;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;weiblich;1967;56;(Fach-) Abitur;1;1;2;1;1;1;Handel, Finanzen, Verwaltung;2;NA;2023-04-24T22:02:52Z;197;TRUE
630;2 Unkenntnis ChatGPT;5;1;60;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;4;3;4;3;3;eher profitieren;ja;3;3;3;3;NA;2;2;2;2;2;2;3;2;2;2;2;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1966;57;9. Klasse;1;1;1;2;1;1;Schule, Bildung, Wissenschaft;5;NA;2023-04-24T22:08:47Z;298;TRUE
631;3 Nichtnutzung ChatGPT;5;5;150;Ich probiere neue Angebote sofort aus.;4;2;2;3;2;eher nicht profitieren;ja;4;4;4;4;It Abteilung;2;2;2;2;4;3;1;3;1;4;4;ja;ja;2;aus Massenmedien (online oder offline);nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;2;3;4;2;3;3;1;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;männlich;1978;45;10. Klasse;1;1;2;1;1;1;In einem anderen Bereich.;2;NA;2023-04-24T22:09:05Z;457;TRUE
